"","pcap","experiment","pkts_processed","total_baseline_alerts","total_experiment_alerts","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","pkts_fowarded_percent","pkts_fowarded_absolute","alerts_true_positive_percent","alerts_true_positive_absolute","alerts_false_positive_percent","alerts_false_positive_absolute","nids_processing_time"
"1","Friday","packet_sampling_10_10",9915680,902,899,0,0,0,"43.89",4351869,"96.34",869,"3.34",30,20.3815820217133
"2","Friday","packet_sampling_10_25",9915680,902,897,0,0,0,"38.36",3803258,"96.34",869,"3.12",28,19.7036964893341
"3","Friday","packet_sampling_10_5",9915680,902,899,0,0,0,"44.72",4434188,"96.01",866,"3.67",33,20.354218006134
"4","Friday","packet_sampling_10_50",9915680,902,897,0,0,0,"38.19",3787181,"96.56",871,"2.90",26,19.2797367572784
"5","Friday","packet_sampling_25_10",9915680,902,899,0,0,0,"50.18",4975884,"96.45",870,"3.23",29,21.0204210281372
"6","Friday","packet_sampling_25_25",9915680,902,899,0,0,0,"48.16",4775109,"96.23",868,"3.45",31,20.4425384998322
"7","Friday","packet_sampling_25_5",9915680,902,898,0,0,0,"50.59",5016346,"96.45",870,"3.12",28,21.0486114025116
"8","Friday","packet_sampling_25_50",9915680,902,899,0,0,0,"48.01",4760041,"96.90",874,"2.78",25,20.9100713729858
"9","Friday","packet_sampling_5_10",9915680,902,874,0,0,0,"32.32",3205169,"93.24",841,"3.78",33,18.7970135211945
"10","Friday","packet_sampling_5_25",9915680,902,875,0,0,0,"25.91",2568961,"92.90",838,"4.23",37,18.2047016620636
"11","Friday","packet_sampling_5_5",9915680,902,874,0,0,0,"34.06",3377266,"93.90",847,"3.09",27,18.80255651474
"12","Friday","packet_sampling_5_50",9915680,902,876,0,0,0,"25.76",2554597,"93.46",843,"3.77",33,18.0245039463043
"13","Friday","packet_sampling_50_10",9915680,902,901,0,0,0,"54.14",5367911,"96.78",873,"3.11",28,21.0469470024109
"14","Friday","packet_sampling_50_25",9915680,902,899,0,0,0,"52.89",5244196,"96.56",871,"3.11",28,20.6928398609161
"15","Friday","packet_sampling_50_5",9915680,902,902,0,0,0,"54.52",5405620,"96.90",874,"3.10",28,21.1337115764618
"16","Friday","packet_sampling_50_50",9915680,902,899,0,0,0,"52.75",5230262,"96.45",870,"3.23",29,21.5422737598419
"17","Friday","rule_based_eRBF",9915680,902,875,0,0,0,"25.16",2494843,"93.35",842,"3.77",33,17.6648764610291
"18","Friday","rule_based_fast_pattern",9915680,902,446,0,0,0,"27.87",2763145,"46.12",416,"6.73",30,19.5261924266815
"19","Friday","rule_based_header_only",9915680,902,477,0,0,0,"51.82",5138380,"51.00",460,"3.56",17,34.2494502067566
"20","Monday","packet_sampling_10_10",11626492,7162,7161,0,0,0,"32.09",3730983,"99.87",7153,"0.11",8,18.4660038948059
"21","Monday","packet_sampling_10_25",11626492,7162,6520,0,0,0,"26.74",3108691,"90.97",6515,"0.08",5,17.6491808891296
"22","Monday","packet_sampling_10_5",11626492,7162,7161,0,0,0,"32.84",3818675,"99.87",7153,"0.11",8,18.8064110279083
"23","Monday","packet_sampling_10_50",11626492,7162,7160,0,0,0,"26.31",3059198,"99.87",7153,"0.10",7,17.7229936122894
